frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,0.44609666,0.17354113,-0.5595339,0.34770712,0.29957673,-0.17667378,0.033824194,0.17163397,0.09536675,-0.06831113,0.28178185,-0.10323888,0.26000503,0.39707506,-0.2890848,0.42595524,0.40624875,-0.6781998,0.06159282,0.043118473,0.23130628,-0.17738768,0.037319776,0.16731636,-0.402371,0.18469241,0.18978082,-0.38958123,0.43554473,0.03159418,-0.13376378,0.5004149,-0.046743445,0.07443881,0.5527274999999999,0.07313839999999999,-0.46218336,0.32685304,0.12745604,-0.67262626,0.3167969,0.13430068,-0.59522253,0.391391,0.24737905,-0.63529366,0.39793670000000003,0.20148297,-0.6244397,0.34105959999999996,0.23194593,-0.61343324,0.3944997,0.10292236,-0.5929211999999999,0.2681466,0.16613552,-0.017243469133973118,0.2267079055309296,-0.003936063498258591
2,0.41440955,0.16841818,-0.48322362,0.37379864,0.3288034,-0.11005575,0.024842472999999997,0.15875259,0.09157294,-0.0630612,0.29121524,-0.10281878,0.28459123,0.42197338,-0.24830073,0.40395358,0.4010715,-0.65417373,0.08128249,0.05030425,0.21861221,-0.16592287,0.04527364,0.17743292,-0.40057832,0.1860329,0.18455444,-0.3841423,0.4385655,0.02355789,-0.12193218,0.49581438,-0.047420002999999995,0.09271739400000001,0.55522156,0.06311094,-0.46205747,0.32984054,0.12039222,-0.67589957,0.32099107,0.12956966,-0.59694976,0.39797592,0.23946624,-0.63743454,0.40360087,0.19391333,-0.6269802,0.34761329999999996,0.22600603,-0.61622435,0.39698416,0.09574858,-0.59646684,0.27232890000000004,0.1619066,-0.019109364598989487,0.22498391568660736,-0.005622919648885727
3,0.5259495,0.08982763,-0.5285148000000001,0.36840248,0.17280714,-0.15529491,0.02080778,0.16042013,0.09105079,-0.040524687999999996,0.30485117,-0.10038161,0.31126112,0.2854236,-0.28425065,0.51253396,0.28760377,-0.65153474,-0.26351354,0.35505240000000005,0.38337278,-0.20719872,0.14981349,0.28203192,-0.43466923,0.23342568,0.18264669,-0.43588802,0.44114992,0.0031796265000000002,-0.24508433,0.5807329000000001,-0.12806614,-0.24545705,0.67809653,0.08447563,-0.48468733,0.34575954,0.0993335,-0.6796840999999999,0.31786329999999996,0.090381235,-0.6219845,0.43705705,0.17546593,-0.65627706,0.42205715,0.12682024,-0.6465361,0.381755,0.17764238,-0.6218123999999999,0.3847463,0.04032407,-0.6026136999999999,0.29202384,0.14724872,-0.009858453646302223,0.2326356470584869,-0.0046654120087623605
4,0.57186747,0.040815104,-0.5143522,0.34143034,0.09624855,-0.17381549,0.009901867,0.15090413,0.084989816,-0.024035636000000003,0.31652683,-0.09390579,0.31623238,0.24348092,-0.2882833,0.5614298000000001,0.21128560000000002,-0.6242637,-0.44733549999999994,0.3111773,0.37775618,-0.32449229999999996,0.11469974,0.3407888,-0.45754054,0.24257597,0.15793908,-0.449107,0.43533266,-0.002245199,-0.3294196,0.6398520999999999,-0.11914172,-0.43409849999999994,0.67775023,0.08378111,-0.49157652,0.34888837,0.084448464,-0.683129,0.33491036,0.07876602,-0.61565566,0.43630119999999994,0.17913496,-0.65281236,0.43093255,0.13069704,-0.6426008000000001,0.38215482,0.173248,-0.6245701,0.40719083,0.037038334,-0.60499215,0.29750127,0.12524225,-0.007066884543746709,0.2337154746055603,-0.004457987844944
5,0.5991305,-0.0044600684,-0.48037055,0.34448186,0.09167230000000001,-0.1607683,0.0030009057,0.14814074,0.08372347,-0.020039513999999998,0.31656203,-0.09099068,0.33316052,0.2361759,-0.26639232,0.5932713000000001,0.15488884,-0.5877591,-0.6007726,0.29646796,0.36843455,-0.45486087,0.10760429,0.35311220000000004,-0.46806570000000003,0.22101274,0.122707024,-0.45124114,0.4215191,-0.006972450799999999,-0.44007123,0.6708768,-0.07880753,-0.61981845,0.6869398,0.070515946,-0.49191850000000004,0.33121538,0.06494567,-0.68767244,0.3462,0.07086137,-0.60202825,0.42326709999999995,0.17631978,-0.6403389,0.42920792,0.12930429,-0.63783836,0.37551588,0.16652833,-0.6191253000000001,0.41034192,0.03280826,-0.61582834,0.29101145,0.10984318,-0.008519303984940052,0.2323513925075531,-0.0036336034536361694
6,0.63423526,0.010715097,-0.44822159999999994,0.36434206,0.11045313,-0.13736331,-0.012938898,0.12355905,0.055922747,-0.0026377758,0.33782852,-0.06250672,0.35813704,0.22702476,-0.22176953,0.64501566,0.14578296,-0.5243944,-0.6819079,0.2930227,0.312706,-0.5181262,0.12153004,0.34250653,-0.48376990000000003,0.22843699,0.10691599,-0.44583473,0.42993159999999997,-0.014125776999999999,-0.46515850000000003,0.6856623000000001,-0.005443277,-0.6825224,0.60613257,0.043823004000000006,-0.4960308,0.3370587,0.05061317,-0.6922625,0.3571723,0.051639356,-0.60855925,0.42376003,0.16531008,-0.6451395000000001,0.43424731,0.1174433,-0.64547646,0.37771124,0.15089387,-0.62097996,0.42161024,0.020004978,-0.6232924,0.29686984,0.08860111,-0.007788336835801601,0.2306937873363495,-0.003291986882686615
7,0.65804666,-0.033285875,-0.37289166,0.38062707,0.10717922,-0.08600998,-0.008719925,0.14417379,0.07846414,-0.015677875,0.31960922,-0.092714205,0.36690325,0.26480576,-0.21183561,0.68659616,0.18013301,-0.47821579999999997,-0.7882608,0.3098195,0.24887732,-0.60529923,0.17228904,0.32834682,-0.47999358,0.25782338,0.11215302,-0.43904445,0.43877122,-0.03727647,-0.5111989,0.68444186,-0.025203576000000002,-0.72261876,0.5762449000000001,0.008170495,-0.48692623,0.35905594,0.04269717,-0.67743367,0.3680045,0.039482486000000004,-0.6082759,0.46303466,0.14353594,-0.64227057,0.46102846,0.09281378,-0.6393355,0.41124985,0.13592145,-0.61002827,0.43393149999999997,3.3400953e-05,-0.60572064,0.32269585,0.09008586,-0.01219889987260103,0.23189151287078855,-0.007125031203031541
8,0.60716105,0.0077045676,-0.34032905,0.40630427,0.19986421,-0.02797504,-0.0020033102,0.15209761,0.085895546,-0.028929735,0.30557844,-0.10601629,0.36506853,0.32759590000000005,-0.19704637,0.63424706,0.15331592,-0.47316176,-0.72576725,0.28908753,0.28204346,-0.5755252,0.10636302,0.30654898,-0.4793035,0.26422098,0.11459565,-0.42923695,0.43999887,-0.0495677,-0.4591577,0.69293493,-0.093130164,-0.6586236999999999,0.59908617,-0.007873136,-0.48314682,0.36784023,0.03988894,-0.67423666,0.38667494,0.02985272,-0.6028029,0.4717678,0.14016521,-0.6363011,0.47431383,0.089283764,-0.6363526999999999,0.42203779999999996,0.12894928,-0.6033254,0.45162022,-0.004123751,-0.60607296,0.33570093,0.078873634,-0.015466522425413132,0.2288380265235901,-0.010060373693704605
9,0.650737,0.054049913,-0.32647437,0.39799172,0.24795485,-0.05717802,0.012053541999999999,0.20250253,0.10697381,-0.045618962,0.25222734,-0.12693833,0.3244897,0.33606744,-0.24457483,0.63830584,0.17073971,-0.47750998,-0.57177585,0.27289537,0.3135341,-0.46847183,0.06545213,0.28756714,-0.4656425,0.27467754,0.124355525,-0.43727535,0.43715313,-0.05225115,-0.3885186,0.6423682,-0.21103172,-0.5212323,0.64650667,-0.020162033,-0.48156947,0.37530178,0.04739287,-0.67172885,0.39570257,0.034875795,-0.5972158000000001,0.49665874,0.128967,-0.62995017,0.49036779999999996,0.077846184,-0.63372314,0.44757485,0.12686269,-0.5973706999999999,0.44855100000000003,-0.0072678180000000005,-0.60814583,0.3520397,0.09568339599999999,-0.016782710328698158,0.2273649275302887,-0.009982258081436155
10,0.69078785,0.14220388,-0.34086108,0.38662729999999995,0.2942999,-0.09122889,0.021351562999999997,0.18746768,0.10131871,-0.046298042000000005,0.27527067,-0.12151397,0.3387259,0.3584912,-0.2239704,0.6196538,0.22477055,-0.51660514,-0.34208816,0.29868087,0.32347256,-0.35630736,0.08090369,0.23068683,-0.48049563,0.27093259999999997,0.13821298,-0.43321620000000005,0.42576846,-0.028882547999999997,-0.22179091,0.48047510000000004,-0.16822848,-0.2882347,0.6050045999999999,0.018130418,-0.49177873,0.36666420000000005,0.06424983,-0.6828093000000001,0.40348816,0.05981917,-0.5815219,0.501632,0.12888011,-0.62048656,0.49334395,0.08225982,-0.62557954,0.46037126,0.13845287,-0.6057017,0.43438068,0.0032444,-0.61960787,0.3580764,0.12251511,-0.012473239563405514,0.23136916756629944,-0.010097630321979523
