frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,0.5382078,-0.1698139,-0.5312048,0.28762284,-0.06446821,-0.18146878,-0.056124985,0.11339894,-0.05555282,0.036020007,0.31182405,0.061043162000000005,0.37796688,0.18899426,-0.19265668,0.5837163000000001,0.21666652,-0.58747625,-0.20210150000000002,-0.17187485,0.12266762,-0.19463924,-0.06602307,-0.1015152,-0.41258907,0.07292899,0.009928735,-0.43080503,0.2994398,0.15096743,-0.17464936,0.33154425,0.24656825,-0.29324126,0.15191835,0.35104397,-0.479519,0.18083769,0.0834417,-0.6706246,0.20470084,0.04092172,-0.6362413,0.11733411,0.16930537,-0.66184926,0.16968541,0.15068994,-0.6587623,0.11507309,0.11314894,-0.60961664,0.24569118,0.11134342,-0.605486,0.13649745,0.027337402,-0.010052489116787909,0.21261149644851685,0.002745170146226883
2,0.53071076,-0.18035649,-0.5485236,0.28157097,-0.05842634,-0.20282774,-0.056306444000000004,0.11234655,-0.052648164000000004,0.036095287999999996,0.31232166,0.05957363,0.3815515,0.19047652,-0.18936244,0.58683693,0.22249746,-0.5851506999999999,-0.22854121,-0.17504776,0.118718944,-0.19874276,-0.072429165,-0.10529964,-0.41001257,0.07624535,0.0077992156,-0.42947847,0.29481155,0.15836571,-0.18172516,0.30568156,0.27594483,-0.31902525,0.11952839999999999,0.34012142,-0.47676548,0.18039523,0.08524397,-0.66658604,0.20604381,0.045288756,-0.63309044,0.112816125,0.16961284,-0.65818024,0.16615155,0.15338843,-0.6555914,0.113233976,0.11347793,-0.60512733,0.24333227,0.117476314,-0.6021013000000001,0.13808367,0.028797552,-0.010105578228831293,0.21233411133289334,0.003462733700871468
3,0.6214483000000001,-0.09927222,-0.5059635,0.32779148,-0.005111180999999999,-0.18668926,-0.049470085999999996,0.11318721,-0.06475801,0.031646796,0.30438372,0.06996615,0.37320614,0.23021689999999997,-0.20091295,0.5965756999999999,0.32259005,-0.5770764,-0.38141865,-0.29488188,0.06584119999999999,-0.24145289,-0.14854795,-0.08330252,-0.41296285,0.06668478,-0.031056318,-0.45105362,0.24748543,0.14205368,-0.29617167,0.1680838,0.34774920000000004,-0.44096705,-0.032812975,0.34816772,-0.47945870000000007,0.15770268,0.050074637000000005,-0.65914667,0.19446996,0.0045648105,-0.6411563,0.10686913,0.1363219,-0.65809095,0.16172355,0.11544176,-0.66211975,0.10573466,0.07968771,-0.59534764,0.22881982,0.074582905,-0.60254085,0.11616867,-0.006287261999999999,-0.008911645039916039,0.20878547430038447,0.0026040710508823395
4,0.5351918000000001,-0.03395806,-0.6346328,0.2753738,0.017178068,-0.2772202,-0.06678452,0.13389593,-0.08213846400000001,0.044779606,0.28382397,0.08601654,0.38478574,0.17742337,-0.18641642,0.5401289,0.33236006,-0.57505006,0.054994773,-0.14631705,0.050579578,-0.16242413,-0.038923122000000004,-0.05213959,-0.40966499999999995,0.06899503,0.019078303,-0.40720946,0.26535723,0.20392928,-0.14954369,0.27351612,0.30086216,0.0055735228,0.10955465,0.41954490000000005,-0.4690218,0.168008,0.11459744,-0.6686982,0.20614709,0.09258208400000001,-0.62182915,0.10044753599999999,0.19959924,-0.64798135,0.15530378,0.19252494,-0.65048176,0.10724092,0.14692566,-0.5987840999999999,0.23651354,0.1598356,-0.6062739,0.14094964,0.05967608,-0.01100245863199234,0.20885995030403134,0.0019390396773815157
5,0.54148036,-0.03856909,-0.622958,0.2973913,0.018069903999999998,-0.25672725,-0.05501139,0.114593595,-0.063407205,0.034531925,0.30465028,0.07037016,0.38579628,0.20703405,-0.18827027,0.53391844,0.32857293,-0.5910361,0.06833621,-0.110796906,0.021518016,-0.16018802,-0.014967896000000001,-0.06536087,-0.40650702,0.06626608,0.03448294,-0.40102148,0.27138963,0.21133642,-0.13221271,0.29301116,0.27889109999999995,0.06524114,0.15390347,0.36386046,-0.46598223,0.16714688,0.1291751,-0.66349804,0.2017026,0.10274575,-0.6206705,0.09527848,0.21109691,-0.64729065,0.14970073,0.20346135,-0.6465616,0.102315195,0.15718207,-0.59776014,0.23212616,0.17449892,-0.5985693,0.13808642,0.073419444,-0.010239733383059502,0.20962193608284,0.0034814774990081787
6,0.56528664,-0.04584844,-0.5712585,0.3257486,0.0023188926,-0.20302391,-0.04375799,0.10158951599999999,-0.040913477999999996,0.023266562999999997,0.32314304,0.04889862,0.36701469999999997,0.24407289999999998,-0.21842852,0.5438104,0.31638330000000003,-0.6220383,0.084766276,-0.08613026,-0.00024185207000000002,-0.15676849,-0.008809213,-0.07306042,-0.40182313,0.06705691,0.041608345,-0.39559728,0.29337102,0.20406261,-0.121016905,0.31757918,0.25494847,0.09459914,0.19399446,0.32121044,-0.4649055,0.17635995,0.13381313,-0.6642697,0.20764837,0.10276407,-0.6249451,0.10038687,0.21158841,-0.6523502,0.15411904,0.20349675,-0.6479496,0.10774323,0.156521,-0.60315025,0.23808168,0.17913157,-0.5966852,0.14677009,0.07640228,-0.010245713405311108,0.2123662829399109,0.00399257056415081
7,0.5829705,-0.047659952,-0.57547146,0.32205606,0.025467806000000003,-0.22555864,-0.04592183,0.101614654,-0.04194132,0.028310144,0.31854013,0.05115847,0.3708869,0.23150767,-0.2152875,0.54955333,0.3111992,-0.6161944,0.070986986,-0.04813613,-0.0031193472,-0.17336191,0.009426416,-0.07915102,-0.40848237,0.07341656,0.04976862,-0.39810604,0.29356682,0.207985,-0.12357449,0.32820132,0.24038573,0.10193604,0.21959175,0.29544175,-0.46580459999999996,0.17932081,0.1393075,-0.66302735,0.20701943,0.10965038,-0.6195723000000001,0.09986658400000001,0.21694653,-0.6485091,0.15302154,0.20966710000000002,-0.64328194,0.10718135,0.16221969,-0.6020828,0.23859216,0.18532665,-0.5942765,0.14796978,0.0824088,-0.008805842138826847,0.21007739007472992,0.004608575254678726
8,0.5806376999999999,-0.038791474,-0.5818356,0.31342709999999996,0.016976682,-0.23114155,-0.055907115,0.11267172,-0.058239754000000005,0.037222408,0.30691820000000003,0.06525711,0.36662033,0.22255121,-0.22127417,0.5480163,0.30609575,-0.62194335,0.06388156,-0.04903908,-0.0050685313,-0.17587017,0.024660638,-0.08427834,-0.41299513,0.083638385,0.04285571,-0.39495915,0.28783733,0.21928150000000002,-0.11924294,0.33108082,0.24636833,0.11748294,0.24204345,0.29017186,-0.46608585,0.18063596,0.14164965,-0.66570294,0.19878654,0.11452158,-0.6152084,0.093804285,0.22095625,-0.646613,0.14584558,0.21419181,-0.6402585999999999,0.10010189,0.16659494,-0.60471976,0.23363072,0.18890858,-0.59463584,0.14284128,0.08560981,-0.009342353790998459,0.20979496836662287,0.0035086777061223984
9,0.6297318000000001,-0.07961699,-0.50978506,0.33023,0.003735707,-0.1931385,-0.047276143,0.11101293599999999,-0.062707715,0.028993132999999997,0.30701187,0.06815058,0.37574756,0.24178320000000003,-0.19753419,0.60143393,0.33557254,-0.5715887,-0.37013779999999996,-0.28517750000000003,0.059588537000000004,-0.22872464,-0.14505173,-0.0925984,-0.40985492,0.06064658,-0.032857556,-0.45183483,0.24631944,0.13922548,-0.28915304,0.1782594,0.34265277,-0.43139663,-0.023710845,0.34490138,-0.47954038,0.1524035,0.048249558,-0.6597586999999999,0.18395951,-0.0005506929,-0.64151853,0.098796375,0.13285156,-0.659775,0.15281971,0.11087942,-0.6613741,0.09627439,0.07585618,-0.59832484,0.22131976,0.070434555,-0.6005281,0.10754368,-0.009085134,-0.009141504764556885,0.20901240408420566,0.002721432596445084
10,0.64482915,-0.058272008,-0.49647346,0.33832526,0.011934311999999999,-0.18421985,-0.045164112,0.10864274,-0.06009189400000001,0.026876086,0.3096105,0.06560574,0.3778466,0.24619403,-0.19338088,0.617242,0.3400241,-0.55762726,-0.36926252,-0.30081668,0.07021059,-0.23882025,-0.14907931,-0.08228961,-0.4138464,0.06309183,-0.028258167,-0.44962743,0.25051722,0.14582269,-0.27908573,0.18479398,0.34450877,-0.423001,-0.015159621000000002,0.34570664,-0.48157018,0.15575927,0.05364001,-0.6661403,0.17844963,0.0022163568,-0.6423298000000001,0.09735355,0.13711306,-0.66420823,0.14954458,0.11409262,-0.6618729,0.092529,0.08013146,-0.6072955,0.22104453,0.072659925,-0.6022394,0.10647474,-0.0050212145,-0.009144012816250324,0.20912662148475647,0.002756921574473381
