frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,0.4380352,0.08995295,-0.72539985,0.22782777,0.12739457,-0.34512585,0.008047186,0.08382091,0.006980258499999999,-0.0030018109999999996,0.32681543,0.012508248999999999,0.2014681,0.29609916,-0.3547783,0.39114958,0.30730647,-0.7494178000000001,0.036244173,-0.124858834,0.20249471,-0.17016289999999998,-0.11200940599999999,0.054856826,-0.3945825,0.048890222000000004,0.059462924,-0.39626738,0.32320786,0.0836,-0.2044095,0.46055064,0.20615833,-0.029634466,0.55364263,0.36461675,-0.45293143,0.19342089999999998,0.07976594599999999,-0.6464075,0.26814362,0.08449899400000001,-0.5901512,0.18548727,0.20308334,-0.6086172,0.24030492,0.18629485,-0.629835,0.18499729,0.15821026,-0.5616776,0.29691273,0.12230337,-0.6055728,0.18499687,0.058589116,0.002522687427699566,0.2053181678056717,0.0097442539408803
2,0.4389255999999999,0.099416055,-0.72065645,0.23249553,0.12394078,-0.33913699999999997,0.00511685,0.08318025,0.008115312,-0.0005014313,0.32734045,0.011091429,0.19930305,0.2925459,-0.35682600000000003,0.37956524,0.29566604,-0.75334483,-0.0034925505,-0.20024434,0.21144852,-0.18241192,-0.11625782,0.056969624,-0.39185825,0.05927688,0.05132351,-0.39258350000000003,0.33153194,0.087684676,-0.21646544,0.48606869999999996,0.21248144,-0.078701034,0.61832964,0.37351245,-0.45119333,0.20210379999999997,0.07879317599999999,-0.6529351,0.26252887,0.08790418,-0.581393,0.19773409,0.20881793,-0.6054835999999999,0.24896795,0.18846793,-0.6240161999999999,0.18977205,0.16775115,-0.56844866,0.30147340000000006,0.11546579,-0.60761225,0.18130805,0.06732021,0.0023077093064785004,0.2052603513002396,0.009603369981050491
3,0.38206,0.06577889,-0.7534847,0.16069032,0.11726721400000001,-0.38419065,-0.015681986000000002,0.082656,-0.021195501000000002,0.023430817000000003,0.31635466,0.035324726,0.19234812,0.29513675,-0.3524569,0.3742277,0.26510376,-0.7498864000000001,-0.5311227,-0.23493777,0.080491245,-0.32828572,-0.21252270000000004,-0.04877632,-0.36869138,0.035814025,0.07685011,-0.42940128,0.26736936,0.12008448,-0.6027468,0.46524584,0.11121434,-0.77779424,0.58933586,0.24336820000000003,-0.42923158,0.15029725,0.12664467,-0.6073538,0.20216049,0.15123111,-0.55757314,0.10578593,0.26442432,-0.5772253,0.16182017,0.25377202,-0.59330046,0.109747425,0.21612984,-0.5273804,0.23087189,0.20156431,-0.56016445,0.12526226,0.11836764,0.0038744155317544937,0.19950532913208008,0.0070646125823259345
4,0.35532698,0.070037894,-0.7719709,0.15929458,0.10743,-0.38687646,-0.027542743999999997,0.086311065,-0.02973586,0.032080483,0.31124455,0.04188283,0.20378654,0.28680077,-0.3466681,0.35489193,0.27092445,-0.7601785,-0.54012406,-0.18376946,0.058986355,-0.33304042,-0.20518377,-0.059777792999999996,-0.36506298,0.03828481,0.07731871,-0.4310069,0.26790246,0.12357464,-0.61080563,0.46004587,0.11187209,-0.81183994,0.56094897,0.22411343,-0.42930576,0.15108955,0.12786388,-0.6036913,0.20840038,0.14494796,-0.56402767,0.110541835,0.2610964,-0.5803590999999999,0.16735502,0.24929765,-0.5973611,0.115791425,0.21123578,-0.52456486,0.23366012,0.19914463,-0.5591965999999999,0.12924282,0.11493975,0.0022688694298267365,0.19877780973911285,0.006073486059904098
5,0.3478025,0.07383331,-0.77355635,0.14750348,0.120823234,-0.39112103,-0.02034476,0.084072046,-0.023759061,0.026685806,0.31555912,0.03715915,0.19814645,0.29895476,-0.35061553,0.37032616,0.29269138,-0.7550826999999999,-0.528137,-0.14616902,0.07260492,-0.34429166,-0.19483256,-0.07100630599999999,-0.37081903,0.04140162,0.07924874,-0.4286167,0.2711923,0.12800119999999998,-0.6108922,0.46285734,0.12400571,-0.81888086,0.5460081999999999,0.23752299,-0.429566,0.15428677,0.13235578,-0.60098517,0.21316859,0.1515653,-0.56725645,0.10371424,0.2592335,-0.58298314,0.16168517,0.25259748,-0.5975626,0.114300944,0.20830823,-0.5247456,0.2333584,0.21235858,-0.5539727,0.13710150000000002,0.11631752,0.0031705228611826897,0.1998155862092972,0.0067000435665249825
6,0.3594454,0.083857164,-0.770578,0.15040492,0.12658516,-0.39167840000000004,-0.021628967000000002,0.084545866,-0.024306532000000002,0.028571997000000002,0.3152223,0.03718932,0.20460777,0.29980046,-0.34880885,0.37851474,0.30134946,-0.7545999,-0.53008854,-0.13317652,0.07274494,-0.34769985,-0.1884065,-0.0706638,-0.3786853,0.049466003,0.07938695,-0.43301466,0.28049374,0.12174495,-0.61825585,0.47027585,0.12301960000000002,-0.83959657,0.51708615,0.23170179,-0.43453187,0.16320120000000002,0.12943225,-0.6104562,0.21295169,0.15428486,-0.5639664000000001,0.10470566,0.25884053,-0.5847206,0.161363,0.2536388,-0.5969293999999999,0.11372954,0.20904069,-0.5338229,0.23829585,0.21282768,-0.55882454,0.14141136,0.115997,0.0034715151414275174,0.1998840868473053,0.006441393867135048
7,0.35593712,0.07924478,-0.76818043,0.14739114,0.11872564,-0.38784957,-0.020947376,0.08382592,-0.018015253999999998,0.028805912000000003,0.3156751,0.033410728,0.20480518,0.29837176,-0.34944686,0.38363305,0.30279893,-0.753559,-0.55902016,-0.14662634,0.09042139,-0.37388784,-0.18668877,-0.05776481,-0.38250422,0.059543705999999995,0.077532865,-0.42961785,0.29694209,0.11177147,-0.61216915,0.4873201,0.11800467,-0.83614457,0.5004042000000001,0.22862506,-0.43570274,0.17658687,0.12326403,-0.61981905,0.21561584,0.16513853,-0.5498338,0.116079226,0.26436170000000003,-0.576403,0.17033109,0.26057804,-0.5901786,0.12033537,0.21947889,-0.53914803,0.24922579999999997,0.21108389,-0.5677696,0.14762865,0.12109927,0.0039292676374316216,0.19975051283836365,0.007697736844420433
8,0.34959733,0.076842025,-0.7695163,0.14943491,0.11295541,-0.38471177,-0.0094386935,0.08239299,-0.009405869,0.018995808,0.32041416,0.026030757999999998,0.19167869,0.30229166,-0.35709357,0.38293916,0.28623557,-0.75254226,-0.60607356,-0.18557513,0.08651529,-0.40159562,-0.18902054,-0.043263175,-0.3854587,0.05701933,0.08722474,-0.42184865,0.30013922,0.11111711,-0.5847007,0.50819176,0.11585277,-0.79275805,0.47352955,0.24554210000000004,-0.43586790000000003,0.17971674,0.12757055,-0.6213005,0.22973629999999998,0.15586309,-0.55751234,0.14788189999999998,0.2736985,-0.5817806,0.20143503,0.25887614,-0.5972416,0.1450919,0.22795802,-0.54018337,0.26690942,0.19674078,-0.57237786,0.15263036,0.12662137,0.00477855745702982,0.20140357315540314,0.008312445133924484
9,0.36592442,0.07681629,-0.75908077,0.16752137,0.105325796,-0.37328392,0.009759011,0.08390741,0.006405086999999999,0.0025632817,0.32582134,0.010831737,0.17597596,0.3013757,-0.3691783,0.38881066,0.28397223,-0.7504128999999999,-0.64180213,-0.21627438,0.08269379,-0.4331879,-0.18565305,-0.04099238,-0.3928119,0.054009512,0.09226909,-0.41789147,0.29956838,0.10570719999999999,-0.5515634,0.5265674,0.13022083,-0.7313919,0.44499746,0.27295938,-0.43856767,0.18101910000000002,0.12640631,-0.62463796,0.24555174,0.15062086,-0.5523544,0.19516033,0.28049025,-0.5755481,0.24389867,0.25268316,-0.5975405,0.1828039,0.24170285,-0.5386462,0.28370437,0.17145815,-0.5844001999999999,0.15883341,0.14031970000000002,0.006161146331578493,0.20486438274383545,0.008618412539362906
10,0.3890812,0.08203246,-0.74849576,0.19069819,0.108462915,-0.3633117,0.021632701,0.08688772,0.0137043735,-0.008122276500000001,0.32687277,0.002891706,0.15474837,0.29591328,-0.38038132,0.35221004,0.28126599999999996,-0.7682026,-0.66223335,-0.27297509999999997,0.08584266,-0.46214947,-0.18550192,-0.027603775,-0.40570784,0.054200057,0.09697033,-0.41752526,0.29587266,0.09962541,-0.5272234,0.5339299,0.13671298,-0.6687988,0.4180170999999999,0.29352340000000005,-0.44157559999999996,0.18263751,0.12406936,-0.6218942,0.2597027,0.14726305,-0.54131216,0.22798958,0.27850366,-0.5640104,0.27234440000000004,0.24376158,-0.5903778000000001,0.21216998,0.24616125,-0.532991,0.29354840000000004,0.15431017,-0.58775556,0.16910358,0.15011826,0.0067552123218774796,0.20688024163246155,0.008298039436340332
