frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,0.68777436,0.09399651,-0.32213536,0.39552632,0.20085883,-0.046454705,0.003573491,0.16735467,0.10220743,-0.038022786,0.27628344,-0.10702476,0.3305475,0.32616705,-0.23633054,0.6281139,0.2869272,-0.5338666999999999,-0.23629008,0.09635382,0.37990263,-0.25531498,-0.047760207,0.19020773,-0.42654908,0.13099660000000002,0.08351486,-0.42272675,0.3779078,-0.025275847,-0.19869816,0.50939906,-0.102355,-0.19026895,0.52373266,0.12641853,-0.48176270000000004,0.26556692,0.046833295,-0.6909948,0.29487717,0.050019085,-0.6108806999999999,0.26847273,0.17981334,-0.6456152,0.30805588,0.15162455,-0.6483044,0.24443032,0.13958949,-0.6173658000000001,0.35807055,0.0710454,-0.6277781,0.22534287,0.042419694,-0.017224647104740143,0.22181905806064608,-0.0024086646735668182
2,0.6907877,0.08268439999999999,-0.34196420000000005,0.39156476,0.17386574,-0.06948828,0.010078687,0.16996616,0.10229231400000001,-0.038397554,0.27129770000000003,-0.10713986,0.33551440000000005,0.30856094,-0.23528661,0.64302564,0.26514712,-0.51693934,-0.32838520000000004,0.14868428,0.31044390000000005,-0.26385498,-0.034275472,0.18181804,-0.43929106,0.13180012,0.08795062,-0.43319023,0.36425126,-0.011213823999999999,-0.21490839,0.49521450000000006,-0.07612116,-0.2816101,0.43326095,0.13053516,-0.48522887,0.25675952,0.05155698,-0.6859276,0.28525907,0.051839042,-0.60531604,0.26170509999999997,0.18157144,-0.640265,0.30062366,0.15254259,-0.6431513000000001,0.23679106,0.14229532,-0.61240894,0.3480736,0.070659444,-0.62354773,0.21625146,0.046480655999999995,-0.014159433543682097,0.2206319272518158,-0.00242377445101738
3,0.674719,0.06352271,-0.4225630999999999,0.3644907,0.06929041,-0.13054664,-0.027110513,0.097557895,0.010477859499999999,0.0026341877000000003,0.33523646,-0.0058384286,0.38389403,0.27958116,-0.15704727,0.7218323,0.24066279999999998,-0.4146294,-0.50066435,-0.05071352,0.22596796,-0.31613153,-0.11539421,0.09058788,-0.43914118,0.11029699,0.004773986500000001,-0.4514103,0.36753646,0.04008955,-0.40413707,0.5484467,0.22698143,-0.59040505,0.44823495,0.3286575,-0.4898773,0.24061903,0.028065136,-0.693267,0.26714438,0.065378815,-0.59624624,0.19266778,0.1590335,-0.63171333,0.24091984,0.15415308,-0.64115095,0.18579406,0.12038454400000001,-0.6137036,0.31876445,0.09449455,-0.6364641,0.20528062,0.01964141,-0.012238162569701672,0.21639718115329745,0.002319715451449156
4,0.68042463,0.07600811,-0.39888440000000003,0.36977547,0.07690935,-0.11318598,-0.02473673,0.09751697,0.018567428,-0.00073316385,0.33305022,-0.0145120425,0.3816503,0.29198644,-0.15683787,0.7058386999999999,0.25530612,-0.42846265,-0.52028,-0.049968407,0.23825604,-0.33720209999999995,-0.109662935,0.09957679,-0.43966717,0.11875442,0.0057635345,-0.44270134,0.37257690000000004,0.049434543,-0.41400716,0.53180385,0.2553779,-0.61861706,0.44832024,0.333929,-0.4849812,0.24825642,0.032102846000000004,-0.6883394,0.26626304,0.05597623,-0.59655166,0.20196539,0.16176803,-0.6336721,0.24774668,0.15158787,-0.63723546,0.19076914,0.11998317,-0.6143071999999999,0.32341963,0.08983141,-0.62487763,0.20584275,0.019463707,-0.012734946794807913,0.21528360247612,0.00202769273892045
5,0.70811856,0.09928639,-0.36626756,0.38282734,0.099117674,-0.09354069999999999,-0.025022775,0.09337156,-0.000621408,0.0026496125,0.33354488,0.0026411582,0.38842207,0.27062997,-0.13789703,0.70899343,0.25883693,-0.42133763,-0.53151315,-0.024258105,0.22504920000000003,-0.3346565,-0.09584431,0.11864693,-0.45154350000000004,0.12642772,0.028212578999999998,-0.44123968,0.3732261,0.061488707000000004,-0.40964565,0.48040316,0.29619032,-0.63261974,0.4126437,0.33632478,-0.48732576,0.2542005,0.04543872,-0.6850785,0.26745325,0.04956219,-0.60608315,0.2230547,0.17533594,-0.64267945,0.26554364,0.15355945,-0.6410047,0.20405187,0.13103741,-0.61672497,0.33236805,0.08310123,-0.61627454,0.20440097,0.031617038,-0.01118658110499382,0.21345822513103485,0.0010098750935867429
6,0.7141691,0.12095546,-0.33511782,0.38645968,0.11090027,-0.06583438,-0.029872577999999997,0.09379424,-0.0053810609999999995,0.0074231555000000005,0.33322427,0.006633753,0.39020756,0.2518054,-0.13421316,0.7113616,0.2543511,-0.41630757,-0.5177402,0.01658557,0.22905475,-0.3346732,-0.08834673,0.12424762,-0.44947657,0.13378592,0.027914241,-0.43604043,0.38316917,0.07042314,-0.39977142,0.47840983,0.31122822,-0.6199979999999999,0.39293690000000003,0.33685255,-0.48527163,0.26351056,0.04784241,-0.6873276999999999,0.27922904,0.06144441,-0.5990268,0.24132045,0.18260904,-0.6363501,0.28332606,0.16084291,-0.6379547,0.22043358,0.14288399999999998,-0.61569023,0.34413105,0.084163725,-0.6212384,0.21302618,0.041550382999999996,-0.011224711313843729,0.21350926160812375,0.0006263458635658027
7,0.72186637,0.13683423,-0.3331038,0.38514012,0.12118667,-0.07722631,-0.025206252999999998,0.095709905,0.013632878999999999,0.004210504,0.33376268,-0.0110033825,0.38874036,0.26071218,-0.14257894,0.71854633,0.24919418,-0.41328865,-0.50928575,0.039156243,0.23839536,-0.33815786,-0.07468431,0.12366113,-0.45296198,0.14349982,0.028836902,-0.43798006,0.38428557,0.07342892,-0.38464004,0.48324242,0.30809486,-0.5954025,0.38037187,0.33096626,-0.48566192,0.26810786,0.052276857,-0.6847985,0.28433546,0.06995339,-0.5952451,0.24138659,0.1890069,-0.63267314,0.28415427,0.1691154,-0.63463867,0.22210096,0.14879383,-0.6125151,0.34755290000000005,0.09484169999999999,-0.6192821999999999,0.21860272,0.04724316,-0.010497874580323696,0.21473628282547,0.001314748078584671
8,0.7140810000000001,0.14443976,-0.35204127,0.38457188,0.1428449,-0.08631417,-0.0146272555,0.113258265,0.05671318,-0.008240339000000001,0.32159725,-0.05400173,0.38691279999999995,0.27816045,-0.15769225,0.7239484,0.25503278,-0.41978753,-0.49931347,0.059389524000000006,0.2520746,-0.34341937,-0.064355195,0.121883474,-0.45101407,0.15053265,0.028957449,-0.43600154,0.3815461,0.0824213,-0.3727823,0.49075559999999996,0.311625,-0.57677436,0.3756808,0.329969,-0.48178756,0.2700473,0.060972455999999994,-0.67482936,0.2854244,0.074353606,-0.5956276999999999,0.23345754,0.19741917,-0.6313536,0.27772674,0.17759958,-0.63116574,0.21766253,0.15207613,-0.6046822,0.34619474,0.11036649999999999,-0.6078517,0.22203292,0.053198706,-0.0114337969571352,0.21742776036262512,0.0013557244092226026
9,0.7056129,0.13954487,-0.39512658,0.36869840000000004,0.10508777,-0.14125626,-0.040839112999999996,0.10445173,-0.056446247000000005,0.022164831,0.30799174,0.056197095999999995,0.39243227,0.22897597,-0.12244515,0.68801457,0.27153340000000004,-0.4265331,-0.471683,0.07053803,0.24602233,-0.31773904,-0.034887392,0.10225734,-0.46045056,0.17024034,0.041635565,-0.4227286,0.37924567,0.124914005,-0.3455087,0.37204733,0.36887515,-0.5773222,0.34547412,0.35763629999999996,-0.48077935,0.282051,0.08085124,-0.6705213000000001,0.29531705,0.07386838,-0.6021726,0.22922464,0.19649187,-0.6373951,0.27524299999999996,0.17925265,-0.6328583999999999,0.21860427,0.14664733,-0.6061368,0.35343048,0.12445694,-0.599636,0.23657888,0.052292153,-0.009337141178548336,0.20622172951698306,-0.00012457557022571564
10,0.65379024,0.12014898,-0.44787896,0.35543709999999995,0.077436134,-0.15374571,-0.046716653,0.10686732,-0.06060142,0.026108006,0.30232176,0.060793832,0.39218400000000003,0.22458959,-0.12449874,0.6380636,0.29847494,-0.46153343,-0.44791684,0.07461572400000001,0.26350954,-0.32677454,-0.05328303,0.10807802,-0.454561,0.16281310000000002,0.045091227000000005,-0.4045023,0.37568015,0.14607897,-0.28630164,0.40329945,0.37634635,-0.5105877999999999,0.35010552,0.3880886,-0.4712548,0.278317,0.09504401,-0.6613816,0.31445032,0.092504255,-0.5988935999999999,0.23055819,0.2062904,-0.62870926,0.28138873,0.19433013,-0.6321800999999999,0.22784437,0.15733595,-0.58945024,0.35891125,0.14538038,-0.5991883000000001,0.24969639999999999,0.06377086,-0.010304323397576807,0.20459453761577606,9.620562195777892e-05
