frame,Ankle.R_x,Ankle.R_y,Ankle.R_z,Knee.R_x,Knee.R_y,Knee.R_z,Hip.R_x,Hip.R_y,Hip.R_z,Hip.L_x,Hip.L_y,Hip.L_z,Knee.L_x,Knee.L_y,Knee.L_z,Ankle.L_x,Ankle.L_y,Ankle.L_z,Wrist.R_x,Wrist.R_y,Wrist.R_z,Elbow.R_x,Elbow.R_y,Elbow.R_z,Shoulder.R_x,Shoulder.R_y,Shoulder.R_z,Shoulder.L_x,Shoulder.L_y,Shoulder.L_z,Elbow.L_x,Elbow.L_y,Elbow.L_z,Wrist.L_x,Wrist.L_y,Wrist.L_z,Neck_x,Neck_y,Neck_z,Head_x,Head_y,Head_z,Nose_x,Nose_y,Nose_z,Eye.L_x,Eye.L_y,Eye.L_z,Eye.R_x,Eye.R_y,Eye.R_z,Ear.L_x,Ear.L_y,Ear.L_z,Ear.R_x,Ear.R_y,Ear.R_z,hip.Center_x,hip.Center_y,hip.Center_z
1,0.63337666,0.13228463,0.51214814,0.27762386,0.15266971,0.27938133,-0.06321466,0.12533148,0.05396776,0.018814038,0.29958034,-0.09518346,0.37868315,0.33762586,0.09757521,0.8020515,0.39298442,0.16721909,0.020870954,-0.04083617,0.08378632,-0.21412413,0.027790874,0.004592217,-0.42615420000000004,0.18146786,-0.055518992,-0.36027,0.42612278,-0.16084939,-0.105110265,0.5147053,-0.18614322,0.10383955,0.5918164,-0.07292649,-0.44889638,0.32385257,-0.10891088,-0.63199586,0.39072657,-0.16735686,-0.60340166,0.3376269,-0.026263809,-0.6201359000000001,0.38638568,-0.057720423,-0.62789786,0.32534838,-0.07896253,-0.56025016,0.43922493,-0.11739071,-0.5803265999999999,0.31209406,-0.16523041,-0.02220031060278416,0.2124558985233307,-0.020607851445674896
2,0.6297154,0.13246161,0.5125434,0.27678135,0.14654747,0.2779757,-0.062815115,0.12455801,0.05415045,0.017219367,0.30060917,-0.09439253,0.3831605,0.32604304,0.08894613,0.8104773000000001,0.36064246,0.150339,-0.005947061,-0.024682306,0.12121057,-0.23742646,0.019743103999999997,0.020066075,-0.4307311,0.19575892,-0.053227215999999994,-0.34535079999999996,0.43428123,-0.166462,-0.08617379,0.5210471999999999,-0.18676521,0.10982351,0.6256994,-0.07158214,-0.4445607,0.33807020000000004,-0.112705514,-0.6291611,0.39692748,-0.17957938,-0.60260844,0.36432950000000003,-0.03197715,-0.619187,0.40801764,-0.069844484,-0.62619716,0.34455127,-0.082661,-0.558558,0.4524947,-0.13523495,-0.5771123,0.31986302,-0.16592754,-0.022797875106334686,0.2125835865736008,-0.02012103982269764
3,0.6907492,0.031577986,0.31619169999999996,0.28620544,0.10404955,0.25007987,-0.041225,0.092519246,0.020757003,0.0010498217999999999,0.32237515,-0.04869069,0.40361086,0.32465479999999997,-0.004331493,0.7797062,0.36857718,-0.20193878,-0.8133736,-0.0015406363,0.12323699999999999,-0.5816187,-0.065927394,0.04149589,-0.44297478,0.13227437,-0.057187885,-0.42626756,0.37443665,-0.0793197,-0.39892226,0.6358756,-0.09509807,-0.39941502,0.88426703,-0.06894257,-0.47039855,0.25415522,-0.05329632,-0.6583009,0.27475506,-0.08359267,-0.6170438,0.20518112,0.04683498,-0.6455622,0.2522019,0.02542617,-0.637534,0.19700061,-0.007742673,-0.6021236,0.3292435,-0.021087382000000002,-0.5876778,0.21404552,-0.09419718,-0.02008759044110775,0.20744720101356506,-0.013966844417154787
4,0.7204457,0.070166975,0.2861701,0.30834126,0.121969335,0.23046872,-0.03759578,0.0948471,0.031895872,-0.0016995438,0.3168683,-0.05335337,0.40186518,0.32754952,-0.04517851,0.7750595,0.38687849999999996,-0.24632794,-0.8284870999999999,-0.036362506,0.093774416,-0.58374333,-0.075383596,0.035586566,-0.4387464,0.12556984,-0.04057365,-0.43757042,0.35739917,-0.0652116,-0.47728455,0.6135414,-0.08504714,-0.5518638000000001,0.8513268,-0.062275406,-0.47086469999999997,0.24204288,-0.035351776,-0.6592958000000001,0.25010884,-0.05958829400000001,-0.61102194,0.19870691,0.076547,-0.6424689,0.24152476,0.050472137,-0.63292265,0.18317209,0.023935612000000002,-0.6040019,0.31329292,-0.006257228599999999,-0.5868605,0.19168048,-0.06563234,-0.01964766159653664,0.20585769414901733,-0.0107287485152483
5,0.7433561,0.0807252,0.26082525,0.3307112,0.13374981,0.21696234,-0.03473744,0.11087905,0.05784674,-0.004652368,0.30439570000000005,-0.07941038,0.39399913,0.33874590000000004,-0.08136083,0.77013856,0.39441434,-0.27852583,-0.8430523999999999,-0.05289894,0.060729068,-0.5937918000000001,-0.07006181,0.017389601,-0.44345593,0.13448516,-0.032132685,-0.44420153,0.35475132,-0.067667514,-0.51926184,0.60030264,-0.084234364,-0.64559025,0.81256115,-0.04770848,-0.47400197,0.24621079999999998,-0.02911904,-0.6649716,0.25989044,-0.037302747000000004,-0.6044331999999999,0.20661937,0.093266115,-0.6376479,0.24991453,0.07062809,-0.6315476999999999,0.19187963,0.04257024,-0.60391235,0.3215133,0.010591125,-0.5944093,0.20027795,-0.050928164000000005,-0.01969490572810173,0.20763736963272092,-0.010781820863485336
6,0.7362002,0.07555646,0.222,0.31962383,0.13481738,0.2257016,-0.029941238,0.09440574,0.032939788,-0.005952208299999999,0.3194451,-0.05485605,0.39901248,0.34604052,-0.06585863,0.7476458,0.39812443,-0.30893847,-0.86485994,-0.051752973,0.03320946,-0.61314726,-0.06566681,-0.0041045365,-0.45670053,0.13918969,-0.044199385,-0.44765950000000004,0.35610327,-0.06613551,-0.5537274,0.5886897,-0.063833565,-0.72186667,0.7723404,-0.024835326,-0.47811452,0.25048906,-0.031873714,-0.6701831,0.26868787,-0.01270798,-0.58890545,0.20760413,0.10259928,-0.6252153,0.25183510000000003,0.08841793,-0.6238151999999999,0.19577724,0.056097306,-0.6018424,0.3281632,0.028865015,-0.60194653,0.21092859,-0.042436354,-0.017946723848581314,0.2069254219532013,-0.010958131402730942
7,0.74122745,0.06796903,0.19242014,0.32530224,0.12348875,0.21174194,-0.032343566000000004,0.092218414,0.0265791,-0.0028450165000000003,0.32132990000000006,-0.048377827000000005,0.4033642,0.33585843,-0.058267042000000005,0.7292809,0.40606317,-0.3245577,-0.8607295,-0.10483613,0.014096802,-0.61052245,-0.05544481,-0.017130341,-0.4547213,0.149132,-0.047789387,-0.44485092,0.3662847,-0.059744168,-0.5806479999999999,0.5790519000000001,-0.04943647,-0.7700916,0.7461979000000001,-0.024943002000000002,-0.47482985,0.26217487,-0.02952686,-0.66425765,0.29361916,-0.005136968,-0.586769,0.22058538,0.10572377599999999,-0.6193383000000001,0.26831293,0.094100654,-0.62321794,0.21390705,0.05941221,-0.5905911,0.34515834,0.037775553999999996,-0.6014768,0.23195788,-0.03890859,-0.017594290897250175,0.20677414536476132,-0.010899363085627556
8,0.7506325,0.07526988,0.16583033,0.33298838,0.12196891,0.20034868,-0.029056434,0.08969265,0.020651806,-0.0052032284,0.32442698,-0.042469386,0.40388486,0.33554593,-0.06290138,0.7207113,0.38753325,-0.34528917,-0.85663414,-0.15242049,0.0047473770000000005,-0.6206861,-0.053991985,-0.026117322999999998,-0.46214473,0.15125795,-0.047384378,-0.44063026,0.3683254,-0.06206849999999999,-0.5901831,0.5709227,-0.044734035,-0.8088614000000001,0.69881564,-0.014704011000000001,-0.47443009999999997,0.26753002,-0.031756643,-0.6586166999999999,0.32063109999999995,-0.001242415,-0.5818448,0.25165346,0.112934336,-0.6093153,0.30152217,0.09718869599999999,-0.62251985,0.24408920000000003,0.07029961,-0.576589,0.36689088,0.029669486000000002,-0.6061896999999999,0.24719205,-0.031412274,-0.01712983101606369,0.2070598155260086,-0.010908789932727814
9,0.7543880000000001,0.057293585999999994,0.13577926,0.33725864,0.105913624,0.18575996,-0.031678498,0.08904915,0.01590434,-0.0013891138,0.32597086,-0.036682755,0.4100097,0.32193667,-0.05277431,0.70755905,0.38222662,-0.35274383,-0.84555465,-0.16349493,-0.0073968554,-0.6233565999999999,-0.03702828,-0.037371047000000004,-0.4647541,0.16824228,-0.04680855,-0.43676832,0.37921247,-0.05778593,-0.60063004,0.56777745,-0.03308213,-0.84364414,0.6346705,0.0024447427,-0.47221708,0.28352523,-0.029450162999999998,-0.65019447,0.3529716,-0.004050036,-0.5822524,0.28233165,0.11517726,-0.60465103,0.33381775,0.09637288,-0.6229191999999999,0.27663046,0.0720024,-0.5649350000000001,0.3922895,0.026456442,-0.6045265000000001,0.27290896,-0.02964133,-0.016533805057406425,0.20751000940799716,-0.010389206930994987
10,0.75878716,0.03993392,0.10799684400000001,0.34187004,0.092455395,0.16456814,-0.03684279,0.0892698,0.0128034465,0.004909673,0.32653964,-0.032072183,0.41675726,0.29950908,-0.049804214000000006,0.7048424,0.3620963,-0.35790363,-0.8327126,-0.15961134,0.005992555,-0.6118098000000001,-0.03277574,-0.033956442,-0.46222060000000004,0.18031204,-0.041415274,-0.4372009,0.38793036,-0.051970467,-0.61910087,0.5597246,-0.02912814,-0.8686818000000001,0.5625555,0.020930411,-0.47058064,0.29659888,-0.024963687999999998,-0.64752865,0.37156367,-0.012099978,-0.5838821999999999,0.31773907,0.118276775,-0.6042459,0.3665775,0.09101443,-0.6243495,0.30685255,0.075524494,-0.5614642,0.41184884,0.013751264,-0.6046964,0.28623867,-0.024380803,-0.015966558828949932,0.20790472626686096,-0.009634368121623993
